,,Total Count,Wins,Losses,Winrate,As Radiant,As Dire,Kills,Deaths,Assists,GPM,XPM,Last Hits,Denies,Overall,In Wins,In Losses,Shift
Vici Gaming,Vici Gaming,926,568,358,61.34%,437,489,25.99,22.24,60.46,2138,2470,893,45,37:10:00,36:08:00,38:47:00,0
PSG.LGD,PSG.LGD,841,529,312,62.90%,430,411,26.04,23.7,57.79,2159,2446,881,44,36:51:00,35:33:00,39:04:00,0
TNC Predator,TNC Predator,767,449,318,58.54%,389,378,24.8,23.37,58.25,2183,2427,958,41,39:39:00,39:08:00,40:22:00,0
Virtus.pro,Virtus.pro,764,489,275,64.01%,402,362,25.88,22.18,59.06,2173,2444,905,51,37:05:00,36:02:00,38:57:00,0
Team Secret,Team Secret,758,528,230,69.66%,429,329,26.4,20.55,61.35,2194,2474,900,44,37:21:00,36:13:00,39:57:00,0
Team Liquid,Team Liquid,750,469,281,62.53%,369,381,26.07,24.11,58.44,2148,2409,869,44,37:07:00,36:16:00,38:31:00,0
Newbee,Newbee,722,369,353,51.11%,311,411,24.03,23.44,56.3,2093,2373,911,43,37:47:00,38:22:00,37:11:00,1:10
Evil Geniuses,Evil Geniuses,706,453,253,64.16%,349,357,25.57,21.96,58.39,2167,2411,868,46,36:31:00,34:39:00,39:52:00,0
INVICTUS GAMING,INVICTUS GAMING,672,389,283,57.89%,332,340,24.68,22.35,57.64,2134,2464,908,44,37:36:00,37:03:00,38:21:00,0
Fnatic,Fnatic,667,402,265,60.27%,331,336,25.9,23.05,59.41,2158,2459,923,44,38:30:00,37:57:00,39:20:00,0
OG,OG,645,405,240,62.79%,309,336,26.18,25.51,59.93,2127,2379,823,41,36:36:00,35:35:00,38:19:00,0
Alliance,Alliance,633,329,304,51.97%,291,342,25.78,23.89,58.83,2133,2462,941,43,38:45:00,37:56:00,39:38:00,0
Natus Vincere,Natus Vincere,625,316,309,50.56%,339,286,23.79,24.08,54.51,2077,2338,895,45,38:39:00,37:33:00,39:47:00,0
EHOME,EHOME,621,317,304,51.05%,295,326,23.46,23.22,52.71,2096,2413,872,45,35:49:00,35:23:00,36:15:00,-00:52
compLexity Gaming,compLexity Gaming,570,301,269,52.81%,268,302,24.12,23.72,54.66,2097,2305,852,44,37:33:00,36:11:00,39:04:00,0
Mineski,Mineski,559,305,254,54.56%,284,275,24.87,23.45,57.05,2154,2371,896,47,38:24:00,38:12:00,38:38:00,-00:26
KEEN GAMING,KEEN GAMING,556,265,291,47.66%,310,246,24.97,25.02,56.9,2037,2302,780,46,35:22:00,34:21:00,36:17:00,0
Team Empire,Team Empire,496,246,250,49.60%,253,243,25.63,25.75,57.53,2124,2335,917,44,39:25:00,39:34:00,39:15:00,0:18
Vega Squadron,Vega Squadron,435,215,220,49.43%,200,235,24.62,26.57,57.62,2107,2309,923,40,39:46:00,41:06:00,38:28:00,2:37
Royal Never Give Up,Royal Never Give Up,405,230,175,56.79%,188,217,23.03,22.42,54.59,2119,2488,898,55,35:49:00,35:36:00,36:06:00,-00:30
Gambit Esports,Gambit Esports,404,229,175,56.68%,232,172,23.12,21.31,54.04,2197,2484,931,47,36:19:00,36:17:00,36:22:00,-00:04
Ninjas in Pyjamas,Ninjas in Pyjamas,398,205,193,51.51%,216,182,23.49,23.46,53.61,2126,2411,935,44,37:50:00,38:30:00,37:07:00,1:22
Infamous Gaming,Infamous Gaming,380,191,189,50.26%,180,200,24.36,25.19,55.14,2095,2334,842,42,36:20:00,37:10:00,35:29:00,1:41
Team Aster,Team Aster,358,180,178,50.28%,165,193,22.62,22.01,53.68,2095,2477,979,41,38:02:00,38:18:00,37:45:00,0:33
CDEC,CDEC,353,176,177,49.86%,233,120,23.77,22.85,54.78,2071,2362,893,45,37:50:00,37:11:00,38:29:00,#VALUE!
paiN Gaming,paiN Gaming,352,196,156,55.68%,170,182,26.43,26.03,59.3,2194,2471,865,43,35:52:00,34:54:00,37:04:00,#VALUE!
LGD.Forever Young,LGD.Forever Young,341,187,154,54.84%,182,159,25.04,22.55,59.3,2003,2258,794,44,38:02:00,39:10:00,36:39:00,2:30
Team. Spirit,Team. Spirit,310,159,151,51.29%,116,194,26.61,25.09,61.53,2064,2282,829,43,38:14:00,36:48:00,39:44:00,0
iG.Vitality,iG.Vitality,309,137,172,44.34%,172,137,22.28,25.76,53.09,2001,2212,825,36,37:36:00,39:21:00,36:13:00,3:08
OpTic Gaming,OpTic Gaming,308,180,128,58.44%,147,161,24.44,24.33,53.51,2082,2282,815,41,37:06:00,35:53:00,38:48:00,0
Geek Fam,Geek Fam,276,131,145,47.46%,129,147,23.99,24.79,56.62,2088,2413,925,44,38:58:00,38:20:00,39:32:00,#VALUE!
The Final Tribe,The Final Tribe,256,118,138,46.09%,107,149,25.13,23.61,57.3,2145,2368,960,41,39:27:00,38:46:00,40:02:00,#VALUE!
VGJ Thunder,VGJ Thunder,251,140,111,55.78%,87,164,24.86,23.25,57.59,2097,2360,825,31,36:32:00,35:03:00,38:25:00,#VALUE!
BOOM ID,BOOM ID,243,115,128,47.33%,121,122,24.19,24.77,53.57,2134,2465,921,46,37:53:00,37:45:00,38:00:00,-00:14
Execration.安博电竞,Execration.安博电竞,238,93,145,39.08%,140,98,24.3,29.5,52.94,2071,2293,929,43,40:37:00,42:54:00,39:09:00,3:45
SG e-sports team,SG e-sports team,235,135,100,57.45%,104,131,25.08,23.75,55.22,2108,2320,885,42,38:15:00,38:47:00,37:31:00,1:15
Team Kinguin,Team Kinguin,210,112,98,53.33%,78,132,24.5,27.19,55.8,2090,2329,890,42,38:36:00,36:43:00,40:46:00,#VALUE!
Newbee,Newbee,207,114,93,55.07%,113,94,25.13,21.65,59.41,2181,2461,933,46,36:49:00,36:16:00,37:29:00,#VALUE!
Digital Chaos,Digital Chaos,196,108,88,55.10%,79,117,23.82,21.67,56.49,2054,2252,883,32,39:21:00,38:54:00,39:55:00,-01:00
Clutch Gamers,Clutch Gamers,189,91,98,48.15%,93,96,25.61,26.58,57.8,2085,2307,883,40,39:43:00,38:35:00,40:46:00,#VALUE!
J.Storm,J.Storm,188,99,89,52.66%,97,91,24.22,24.67,55.39,2112,2328,870,44,37:19:00,38:11:00,36:21:00,1:50
FlyToMoon,FlyToMoon,176,95,81,53.98%,102,74,25.09,25.04,55.8,2097,2511,868,54,35:47:00,33:47:00,38:07:00,#VALUE!
Newbee.Young,Newbee.Young,169,91,78,53.85%,69,100,24.14,25.12,53.67,2052,2261,755,41,34:39:00,34:04:00,35:19:00,#VALUE!
Infamous,Infamous,162,71,91,43.83%,96,66,23.88,27.62,49.49,2090,2324,801,39,35:30:00,34:03:00,36:39:00,#VALUE!
HellRaisers,HellRaisers,158,78,80,49.37%,95,63,22.61,23.34,53.08,2119,2496,947,50,37:36:00,38:24:00,36:50:00,1:34
GangSquad,GangSquad,157,67,90,42.68%,79,78,24.69,27.7,56.29,1996,2244,761,34,36:39:00,36:03:00,37:06:00,#VALUE!
Team Spirit,Team Spirit,154,57,97,37.01%,84,70,19.63,23.89,46.55,1915,2351,789,36,33:36:00,34:49:00,32:54:00,1:55
Nigma,Nigma,145,81,64,55.86%,53,92,25.28,25.67,58.3,2027,2410,795,47,35:01:00,33:23:00,37:06:00,#VALUE!
Immortals,Immortals,141,66,75,46.81%,86,55,23.52,25.74,53.89,1991,2244,788,39,36:49:00,38:32:00,35:18:00,3:14
VGJ Storm,VGJ Storm,136,91,45,66.91%,77,59,27.96,23.69,63.73,2228,2462,906,48,37:54:00,36:29:00,40:46:00,#VALUE!
