,,Total Count,Wins,Losses,Winrate,As Radiant,As Dire,Kills,Deaths,Assists,GPM,XPM,Last Hits,Denies,Overall,In Wins,In Losses,Shift
INVICTUS GAMING,INVICTUS GAMING,148,107,41,72.30%,87,61,25.19,20.7,61.12,2233,2393,850,36,38:21:00,36:43:00,42:37:00,#VALUE!
iG.Vitality,iG.Vitality,148,76,72,51.35%,82,66,22.51,24.14,55.3,2036,2184,762,32,36:33:00,36:39:00,36:27:00,0:11
PSG.LGD,PSG.LGD,122,73,49,59.84%,60,62,24.39,24.2,56.67,2128,2296,820,35,38:00:00,36:07:00,40:47:00,0
Vici Gaming,Vici Gaming,114,71,43,62.28%,41,73,23.7,17.43,56.56,2106,2268,702,27,33:54:00,31:31:00,37:51:00,#VALUE!
TNC Predator,TNC Predator,108,67,41,62.04%,37,71,25.5,23.08,60.98,2200,2268,818,28,38:29:00,36:42:00,41:24:00,0
WarriorsGaming.Unity,WarriorsGaming.Unity,105,63,42,60.00%,51,54,25.3,22.5,56.99,2200,2276,773,37,36:16:00,33:45:00,40:02:00,0
CDEC,CDEC,105,50,55,47.62%,63,42,23.36,25,54.97,2073,2183,806,39,37:54:00,39:08:00,36:47:00,2:21
Mineski,Mineski,102,55,47,53.92%,53,49,25.04,22.15,58.23,2137,2275,831,34,38:27:00,39:19:00,37:26:00,1:52
Faceless,Faceless,102,61,41,59.80%,63,39,25.31,23.73,57.48,2209,2273,861,32,39:26:00,38:48:00,40:22:00,0
LGD.Forever Young,LGD.Forever Young,100,52,48,52.00%,47,53,23.46,21.61,57.86,2058,2216,777,40,37:58:00,38:22:00,37:32:00,0:49
Team VGJ,Team VGJ,98,53,45,54.08%,45,53,25.71,23.6,59.78,2149,2343,889,37,39:05:00,40:58:00,36:51:00,4:07
Vega Squadron,Vega Squadron,97,53,44,54.64%,50,47,24.54,25.21,59.15,2145,2246,826,34,39:07:00,40:29:00,37:28:00,3:01
Newbee,Newbee,96,54,42,56.25%,42,54,24.7,22.55,58.03,2190,2350,918,41,39:15:00,38:41:00,40:00:00,0
Team Empire,Team Empire,95,54,41,56.84%,43,52,25.53,23.98,58.98,2198,2279,886,31,40:26:00,39:27:00,41:43:00,0
Alliance,Alliance,92,47,45,51.09%,43,49,24.59,22.89,59.91,2154,2162,907,40,41:51:00,41:38:00,42:04:00,-00:25
Team Secret,Team Secret,84,57,27,67.86%,41,43,24.7,18.32,58.36,2217,2302,850,36,38:38:00,36:59:00,42:09:00,#VALUE!
Team NP,Team NP,84,55,29,65.48%,40,44,24.19,17.24,55.68,2207,2305,857,35,37:51:00,36:24:00,40:35:00,#VALUE!
OG,OG,78,53,25,67.95%,38,40,26.38,23.6,66.1,2210,2315,902,30,41:28:00,41:48:00,40:48:00,0:59
Team Liquid,Team Liquid,77,54,23,70.13%,34,43,26.19,22.92,60.75,2273,2327,880,31,39:20:00,35:17:00,48:50:00,0
Natus Vincere,Natus Vincere,76,41,35,53.95%,42,34,23.21,25.55,55.2,2123,2192,882,40,40:48:00,42:20:00,39:00:00,3:19
compLexity Gaming,compLexity Gaming,74,42,32,56.76%,48,26,23.01,22.96,57.34,2099,2167,719,30,35:50:00,35:10:00,36:41:00,0
Digital Chaos,Digital Chaos,71,42,29,59.15%,33,38,23.41,23.28,55.83,2194,2218,889,31,40:07:00,40:18:00,39:52:00,0:26
EHOME,EHOME,70,35,35,50.00%,38,32,26.27,26.49,58.83,2020,2189,643,32,34:22:00,33:39:00,35:06:00,0
Danish Bears,Danish Bears,69,38,31,55.07%,50,19,25.17,23.29,57.83,2152,2104,785,31,37:57:00,33:49:00,43:01:00,#VALUE!
Geek Fam,Geek Fam,68,30,38,44.12%,32,36,24.97,25.68,57.68,2038,2131,783,38,38:49:00,37:12:00,40:05:00,0
SG e-sports,SG e-sports,68,33,35,48.53%,33,35,21.57,24.01,51.72,2176,2179,884,35,39:31:00,40:37:00,38:28:00,2:08
the wings gaming,the wings gaming,61,27,34,44.26%,41,20,22.46,26.62,54.52,2034,2211,846,44,39:50:00,38:13:00,41:08:00,0
Vici Gaming Potential,Vici Gaming Potential,61,22,39,36.07%,36,25,21.1,20.85,49.64,1907,2043,690,33,35:23:00,35:12:00,35:29:00,-00:17
Clutch Gamers,Clutch Gamers,58,39,19,67.24%,31,27,25.57,22.48,58.59,2266,2366,883,32,39:51:00,39:11:00,41:12:00,-02:00
KEEN GAMING,KEEN GAMING,57,29,28,50.88%,30,27,26.63,28.33,62.89,2114,2256,755,34,36:39:00,33:31:00,39:54:00,#VALUE!
team_ftd_a,team_ftd_a,56,34,22,60.71%,26,30,25.3,23.84,57.46,2143,2277,724,44,34:45:00,33:29:00,36:43:00,#VALUE!
Execration.安博电竞,Execration.安博电竞,56,22,34,39.29%,27,29,21.25,26.34,48.82,2060,2088,841,33,38:54:00,44:43:00,35:09:00,9:34
We.are.young,We.are.young,56,24,32,42.86%,19,37,21.62,24.75,52,1956,2067,621,31,33:32:00,34:24:00,32:52:00,1:31
Virtus.pro,Virtus.pro,54,39,15,72.22%,31,23,26.06,19.87,62.89,2253,2317,814,31,37:46:00,36:36:00,40:48:00,#VALUE!
Infamous Gaming,Infamous Gaming,53,26,27,49.06%,30,23,22.26,22.85,53.43,2172,2151,725,38,34:37:00,33:54:00,35:19:00,#VALUE!
Team. Spirit,Team. Spirit,53,24,29,45.28%,9,44,25.28,26.09,62.15,2060,2184,780,43,38:14:00,38:35:00,37:58:00,0:37
Team Onyx,Team Onyx,52,28,24,53.85%,27,25,20.44,18.42,49.62,2100,2101,711,27,34:13:00,33:03:00,35:35:00,#VALUE!
Evil Geniuses,Evil Geniuses,51,31,20,60.78%,15,36,26.47,21.88,63.16,2265,2328,1036,38,43:14:00,41:05:00,46:34:00,#VALUE!
CAVALRY,CAVALRY,50,21,29,42.00%,28,22,25.52,25.46,56.64,2063,2148,807,36,38:43:00,39:08:00,38:25:00,0:42
Fnatic,Fnatic,48,20,28,41.67%,14,34,23.81,26.15,56.81,2015,2158,694,27,35:09:00,31:15:00,37:57:00,0
Newbee.Young,Newbee.Young,47,25,22,53.19%,20,27,23.51,25.49,51.89,2089,2242,641,31,32:17:00,32:31:00,32:01:00,0:30
Team Max,Team Max,42,29,13,69.05%,5,37,23.69,21.38,54.57,2159,2306,794,38,36:16:00,37:22:00,33:47:00,3:35
Happy Feet,Happy Feet,41,19,22,46.34%,25,16,23.51,28.22,50.34,2120,2293,875,35,38:25:00,36:19:00,40:14:00,0
Elements Pro Gaming,Elements Pro Gaming,40,15,25,37.50%,16,24,23.1,25,52.67,1924,2046,757,34,37:31:00,42:44:00,34:22:00,8:21
To.be.or.not.to.be,To.be.or.not.to.be,38,19,19,50.00%,21,17,23.76,24.79,55.79,2130,2308,779,33,35:58:00,34:11:00,37:45:00,#VALUE!
Team VDuoBao,Team VDuoBao,38,23,15,60.53%,20,18,26.55,22.11,60.58,2070,2243,742,36,36:26:00,36:55:00,35:40:00,1:14
Ninjas in Pyjamas,Ninjas in Pyjamas,38,12,26,31.58%,16,22,22.24,26.58,50.71,2068,2058,898,29,41:27:00,41:36:00,41:23:00,0:13
w33ha earthspirit,w33ha earthspirit,37,23,14,62.16%,14,23,24.16,23.16,54.03,2270,2435,898,32,38:43:00,35:42:00,43:42:00,-08:00
Avalon_Club,Avalon_Club,36,11,25,30.56%,29,7,21.75,25.92,45.92,1881,2025,679,32,35:17:00,37:10:00,34:27:00,2:42
Team Braveheart,Team Braveheart,36,19,17,52.78%,20,16,24.08,25.97,53.42,2045,2258,700,36,35:36:00,36:24:00,34:42:00,1:42
RUSH B,RUSH B,35,13,22,37.14%,19,16,24.31,24.14,53.89,2011,2137,782,39,37:17:00,35:36:00,38:17:00,#VALUE!
Team Freedom Dota 2,Team Freedom Dota 2,35,10,25,28.57%,12,23,17.4,25.06,41.06,1976,1982,775,25,37:14:00,43:46:00,34:37:00,9:09
Rex Regum QEON,Rex Regum QEON,35,12,23,34.29%,19,16,21.54,25.71,48.46,2038,2128,707,28,34:21:00,36:00:00,33:30:00,2:30
Comanche,Comanche,35,16,19,45.71%,24,11,24.51,23.89,58.77,2084,2070,806,27,39:38:00,37:15:00,41:39:00,#VALUE!
C5Gaming,C5Gaming,33,10,23,30.30%,23,10,20.85,28.82,46.3,1881,2059,686,28,35:00:00,41:11:00,32:19:00,8:51
White Fries Gaming,White Fries Gaming,33,6,27,18.18%,14,19,17.82,25.48,38.06,1780,2038,654,36,33:57:00,35:33:00,33:35:00,1:57
team_ftd_c,team_ftd_c,32,3,29,9.38%,16,16,15.78,29.47,34.72,1665,1858,569,29,32:17:00,34:43:00,32:02:00,2:40
Effect,Effect,31,13,18,41.94%,15,16,21.71,24.58,54.68,2011,2111,702,32,36:17:00,35:16:00,37:01:00,#VALUE!
Prodota Gaming,Prodota Gaming,31,13,18,41.94%,16,15,25.26,26.29,58.16,2030,2259,734,27,35:24:00,35:28:00,35:21:00,0:06
mousesports,mousesports,30,9,21,30.00%,14,16,22.07,31.47,49.37,2030,2316,883,30,40:28:00,40:12:00,40:35:00,-00:23
Horde,Horde,29,14,15,48.28%,16,13,25.48,23.72,60.97,2061,2107,792,32,39:57:00,39:31:00,40:22:00,-00:50
B)ears,B)ears,28,18,10,64.29%,21,7,25.61,24.14,61.29,2298,2261,994,26,43:17:00,42:15:00,45:10:00,#VALUE!
LYG.Gaming,LYG.Gaming,28,10,18,35.71%,12,16,20.07,24.68,47.82,1888,2043,683,35,35:26:00,37:44:00,34:10:00,3:34
WarriorsGaming.Youth,WarriorsGaming.Youth,27,11,16,40.74%,12,15,25,26.56,56.44,2042,2214,780,34,37:39:00,38:32:00,37:02:00,1:30
Team DileCom,Team DileCom,26,11,15,42.31%,15,11,23.46,26.62,54.12,2051,2034,659,33,33:35:00,34:07:00,33:13:00,0:53
Team AD FINEM,Team AD FINEM,26,11,15,42.31%,13,13,24.31,28.5,58.58,2030,2068,808,27,42:07:00,40:15:00,43:30:00,#VALUE!
Midas Club,Midas Club,25,10,15,40.00%,13,12,22.28,26.56,54.12,2188,2195,905,38,41:18:00,41:07:00,41:26:00,-00:18
is GG,is GG,23,10,13,43.48%,13,10,21.09,21.96,50,2040,2244,722,29,33:48:00,32:59:00,34:25:00,#VALUE!
Newbee.mgb,Newbee.mgb,21,10,11,47.62%,7,14,26.24,27.86,64.95,2008,2109,788,35,39:41:00,44:45:00,35:05:00,9:40
Friends,Friends,21,7,14,33.33%,11,10,19.33,22.57,48.1,2008,2013,718,30,35:54:00,34:17:00,36:42:00,#VALUE!
MAX.Y,MAX.Y,20,10,10,50.00%,4,16,22.55,23.9,54.25,2055,2102,765,30,37:03:00,39:37:00,34:30:00,5:07
MVP.Revolution,MVP.Revolution,18,8,10,44.44%,7,11,25.11,27.94,59,2038,2169,710,36,35:36:00,40:01:00,32:03:00,7:57
Not Today !,Not Today !,18,14,4,77.78%,8,10,22.28,14.28,52.06,2359,2303,701,40,33:04:00,32:01:00,36:44:00,#VALUE!
Vultur,Vultur,17,3,14,17.65%,9,8,15.59,22.12,33.06,1805,1763,483,24,28:46:00,30:14:00,28:27:00,1:47
Team EVOS,Team EVOS,17,8,9,47.06%,11,6,26.71,34.65,57.59,2079,2332,827,26,38:34:00,41:41:00,35:48:00,5:52
WanteD,WanteD,15,5,10,33.33%,7,8,23.2,28.33,57.53,1872,2010,592,20,35:04:00,33:49:00,35:41:00,#VALUE!
DUOBAO Young,DUOBAO Young,15,11,4,73.33%,3,12,26.13,16.27,60.67,2254,2218,670,43,33:00:00,33:57:00,30:23:00,3:34
Doo Wop,Doo Wop,14,5,9,35.71%,8,6,18.71,21.93,48.07,2063,1993,744,28,35:24:00,34:07:00,36:07:00,-02:00
